題目,答案,答對反饋,答錯回饋,提示
__________ of the man's blood showed he has been infected by the virus.,Analysis,答對了！正確答案是 Analysis.,不對，正確答案是 Analysis.,檢測或分析血液
___________ alcohol use can cause serious health problems.,Excessive,答對了！正確答案是 Excessive.,不對，正確答案是 Excessive.,過量飲酒
Some studies have ___________ a link between music and learning in areas such as mathematics.,Demonstrated,答對了！正確答案是 Demonstrated.,不對，正確答案是 Demonstrated.,證明某種關係
HIV patients can be seriously affected by ___________ related to minor illnesses.,Complications,答對了！正確答案是 Complications.,不對，正確答案是 Complications.,併發症
Driving when tired can be a(n) ___________ to yourself and others.,Hazard,答對了！正確答案是 Hazard.,不對，正確答案是 Hazard.,危險
Although Delia had done a(n) ___________ amount of research, she still hadn't begun writing her report.,Substantial,答對了！正確答案是 Substantial.,不對，正確答案是 Substantial.,大量的
Drinking too much alcohol certainly ___________ with putting on weight.,Correlates,答對了！正確答案是 Correlates.,不對，正確答案是 Correlates.,有關聯
The nurse reminded the patient that the medicine cannot be taken ___________; it can only be applied to the skin.,Internally,答對了！正確答案是 Internally.,不對，正確答案是 Internally.,內服
The singer has a(n) __________ vocal range that never fails to impress the audience.,Astonishing,答對了！正確答案是 Astonishing.,不對，正確答案是 Astonishing.,令人驚嘆的
Our teacher always knows how to __________ discussion in the class.,Stimulate,答對了！正確答案是 Stimulate.,不對，正確答案是 Stimulate.,激發討論
Be careful not to say anything negative about your old boss in the interview. That could __________ your chances of getting the job.,Jeopardize,答對了！正確答案是 Jeopardize.,不對，正確答案是 Jeopardize.,危害、損害
You said Todd would probably be late, and it appears that your fears were __________.,Justified,答對了！正確答案是 Justified.,不對，正確答案是 Justified.,合理的
There is nearly always some __________ cause for antisocial behavior in children.,Underlying,答對了！正確答案是 Underlying.,不對，正確答案是 Underlying.,潛在的
Continued changes to the work schedule will __________ confusion among the employees.,Result in,答對了！正確答案是 Result in.,不對，正確答案是 Result in.,導致
Alan finds jogging difficult as he has a __________ back injury.,Chronic,答對了！正確答案是 Chronic.,不對，正確答案是 Chronic.,慢性的
A balanced diet is clearly __________ with good health.,Associated,答對了！正確答案是 Associated.,不對，正確答案是 Associated.,與…有關
The boy ________ through a bunch of people and found his mom in the front row.,Squeeze,答對了！正確答案是 Squeeze.,不對，正確答案是 Squeeze.,擠過
Social workers frequently have to deal with the ________ of drug abuse.,Menace,答對了！正確答案是 Menace.,不對，正確答案是 Menace.,威脅
Paper and printing are two important inventions that ________ in ancient China.,Originated,答對了！正確答案是 Originated.,不對，正確答案是 Originated.,起源於
Many tourists to London enjoy feeding the pigeons, but locals consider the birds to be a ________.,Nuisance,答對了！正確答案是 Nuisance.,不對，正確答案是 Nuisance.,麻煩、討厭
Chinese people usually follow many ________ when visiting temples.,Rituals,答對了！正確答案是 Rituals.,不對，正確答案是 Rituals.,儀式
This product ________ three main parts that must be put together.,Consists of,答對了！正確答案是 Consists of.,不對，正確答案是 Consists of.,由…組成
Although our next-door neighbor is a rather ________ old man, he is very kind and friendly.,Eccentric,答對了！正確答案是 Eccentric.,不對，正確答案是 Eccentric.,古怪的
Elephants are believed to have ________ wisdom in some cultures.,Divine,答對了！正確答案是 Divine.,不對，正確答案是 Divine.,神聖的、超凡的
Education systems should always seek to improve their ______.,Practices,答對了！正確答案是 Practices.,不對，正確答案是 Practices.,做法、制度
The artist's paintings ______ scenes of country life.,Depict,答對了！正確答案是 Depict.,不對，正確答案是 Depict.,描繪
My family always get together on special ______.,Occasions,答對了！正確答案是 Occasions.,不對，正確答案是 Occasions.,特殊場合
Victor doesn't like listening to pop music as he thinks it's too ______.,Commercial,答對了！正確答案是 Commercial.,不對，正確答案是 Commercial.,商業化的
Watching real ______ ceremonies in Asia can be a fascinating experience for travelers.,Religious,答對了！正確答案是 Religious.,不對，正確答案是 Religious.,宗教的
In the US, the third Monday of January ______ the birthday of Martin Luther King, Jr.,Commemorates,答對了！正確答案是 Commemorates.,不對，正確答案是 Commemorates.,紀念
Brazilian food is a ______ of European, African, and native cuisines.,Blend,答對了！正確答案是 Blend.,不對，正確答案是 Blend.,融合
There is a strong ______ between Amanda and her father.,Resemblance,答對了！正確答案是 Resemblance.,不對，正確答案是 Resemblance.,相似之處
